Tweets,Likes,Adj Close,Close,High,Low,Open,Volume,Prices,Comp,Negative,Neutral,Positive
"#Cyberpunk2077 est le premier jeu à mettre ma moralité à rude épreuve, j’en vient réfléchir à mes choix dans la vraie vie.",0,MA,MA,MA,MA,MA,MA,0,-0.4588,0.125,0.875,0.0
"#دوري_روشن_السعودي
هذا سناب المتجر علي الدوسري ضيفوه وتابعوه وتفاعل ويستاهل دعم ⬇️
https://t.co/JwGddPNT4R",0,342.7143859863281,346.79998779296875,354.6600036621094,343.94000244140625,349.9599914550781,2933600,0,0.0,0.0,1.0,0.0
"@7heures13 Non 🕺 y’a 2 screens de blocage (le lien plus celui de ma pote) 
Celui avec le follow back 
Et les 2 derniers c T pour prouver que tu mentais 
I keep receipts 💅💅 (c faux je supprime jms mes photos c tt)",0,350.9660339355469,355.1499938964844,356.9800109863281,349.69000244140625,351.3900146484375,2661000,0,0.0,0.0,1.0,0.0
"@Aku_68 @Rymcu @Cinkroflol @JankosLoL Nie oglądam, ale od jakiś 2 tygodni widzę, że gra w eldena, wcześniej wukonga. A co w tym dziwnego skoro od 10 lat gra zawodowo w ligę, to co ma być na jego streamach, fortnite? XD",3,347.6258544921875,351.7699890136719,357.55999755859375,351.2699890136719,356.1199951171875,2608500,3,0.6739,0.0,0.882,0.118
@AllahGreatQuran Ma sha Allah,0,363.9282531738281,367.6700134277344,368.7200012207031,355.32000732421875,357.30999755859375,4432800,0,0.0,0.0,1.0,0.0
"@AnonymaticaSRL Uh mi è andata bene, facevo cose orribili, ma negli anni 80!",0,367.1946716308594,370.9700012207031,375.0,369.55999755859375,371.6300048828125,3913500,0,0.0,0.0,1.0,0.0
@Antonio_Tajani Gli intanto è in corso un colpo di stato e non c’è interferenze da parte di nessuno 😡 il fatto sta che il popolo a detto basta hai corrotti  che da 30 ani ci governano ma hei viva la disinformazione complimenti 👏👏👏,0,367.2342224121094,371.010009765625,371.67999267578125,367.2099914550781,368.80999755859375,3485900,0,0.0,0.0,1.0,0.0
"@BluKalpIstanbul @pomeriggio5 Ma vai a cagare, cretina",0,374.0144958496094,377.8599853515625,377.9200134277344,371.260009765625,372.6199951171875,3370200,0,0.0,0.0,1.0,0.0
"@EarvLikes I can't believe i killed ma best friaaand 

:(",31,375.94464111328125,379.80999755859375,381.1300048828125,376.9200134277344,377.8599853515625,3291200,31,0.7087,0.185,0.319,0.496
"@GTrapezov @JuBrozeur @Breeyz90 @channasparkle Oh non un Naz…Raciste insulte ma religion car il est incapable de comprendre le sens d’un Verset, ma vie va si mal. Mdrr allez bonne nuit mon petit racelard ça sert à rien de répondre je t’écrirai plus, passe la bonjour à la jeune Rebecca",0,371.69830322265625,375.5199890136719,377.8699951171875,374.30999755859375,375.05999755859375,4261000,0,-0.3818,0.051,0.949,0.0
@Hajjinho3ashra L’idée de malade mentale je me serais suicider dans ma voiture,1,371.18365478515625,375.0,378.3299865722656,373.9800109863281,375.0,2814500,1,0.0,0.0,1.0,0.0
@JGSDF_MA_14B_pr 📣ファイトー‼️,0,365.1655578613281,368.9200134277344,375.80999755859375,368.5,374.510009765625,2747100,0,0.0,0.0,1.0,0.0
@Lisayahhhh1997 Di ka po ma add,1,364.1955261230469,367.94000244140625,370.79998779296875,363.6000061035156,364.6000061035156,3111200,1,-0.5574,0.419,0.581,0.0
"@Ma_____2_1_2 おはようございます
今日も頑張りましょう🪼",1,372.4506530761719,376.2799987792969,376.6199951171875,369.3999938964844,370.2300109863281,3863400,1,0.0,0.0,1.0,0.0
@MaxStarWalker Ma sei uno di quelli con le bandierine nel nome. Tutto chiaro.,0,374.71728515625,378.57000732421875,381.3800048828125,376.3599853515625,376.739990234375,2743900,0,0.0,0.0,1.0,0.0
@NTForFNT Trời ơi má đang phá trend hả? STOP,0,376.1427001953125,380.010009765625,390.0,375.2200012207031,390.0,2756200,0,-0.4466,0.268,0.732,0.0
