created_at,text,likes
2024-12-06 23:59:57+00:00,"تابعهم ياتبعوكم 
ريتويت للدعم 
😍😍😍😍
@gumterver100
@ZyrwT28134
@shahnawaz_2182
@1___A_1 
@_Solav_
@rshrooshh
@glmsjd
@nt41000
@AhmedAb84271008
@shadoshamy
@kp13s
@haAl55342
@smy58881
@gzl623463751501
@ma_haq8
@AliAli711z
@FayzQrysh57883
@MYK_63
@Hannibal1998X
#هلا_هلا 
#هلا",64
2024-12-06 23:59:12+00:00,"@EarvLikes I can't believe i killed ma best friaaand 

:(",31
2024-12-06 23:59:31+00:00,"Pinni:Madyarathiri 2:30ki neeku ma bedroom deggara emPani ra?
Son:Waterkosam ochhanu pinni
Pinni:Naku telidu anukoku Roju nannu meebabai ee timeki juttupattukoni doggystylelo padesi dengutavunte nuvvu ahbokkalo nunchichusi kottukuntuvuntav
Babai:(Oh Lanja munda lopaliki raave) https://t.co/vxpwVT7MH1",28
2024-12-06 23:59:41+00:00,"@Vito82488734 myślę, że w niej samej nie ma jeszcze wyrachowania, tylko w doradcach i sztabie
ona ma jeszcze mleko pod nosem, więc ideologie pod postacią tęczowej flagi,równość, prawa do macicy i inne pierdy są dla niej ważniejsze niż ważne sprawy tego kraju",27
2024-12-06 23:59:33+00:00,"Ma shqetsun pak xheneten, produksion muti #bbvipks3 https://t.co/BRfOLjG170",17
2024-12-06 23:59:18+00:00,"@TheMistressCat Very nice gams, Ma'am.",17
2024-12-06 23:59:16+00:00,"O Arion dil ma mir
Merre edhe Drilonin pash Zotin se fort jon te shfrytzuu 
T lutna #bbvipks3",11
2024-12-06 23:59:29+00:00,@solenne4evah MA È FUORI DI TESTA,10
2024-12-06 23:59:19+00:00,Devinez qui doit aller au resto demain pour l’anniversaire de son oncle et se tape une insomnie de singe ? Je ne hais pas assez ma naigre vie.,8
2024-12-06 23:59:47+00:00,"@borghi_claudio Fatto .Non ho inviato mail, ma è stato importante partecipare  in segno di apprezzamento fiducia e stima per il vostro lavoro.",6
2024-12-06 23:59:24+00:00,@hotfirespicy Every single day ma,4
2024-12-06 23:59:37+00:00,"@Aku_68 @Rymcu @Cinkroflol @JankosLoL Nie oglądam, ale od jakiś 2 tygodni widzę, że gra w eldena, wcześniej wukonga. A co w tym dziwnego skoro od 10 lat gra zawodowo w ligę, to co ma być na jego streamach, fortnite? XD",3
